filename,width,height,class,xmin,ymin,xmax,ymax
235_jpg.rf.f4714fb9b812afc3814938c10747db4e.jpg,640,640,Renault Tondar 90,0,9,630,640
ZV1ZD02X_jpg.rf.f4bb26842a300765c66d791e768a9daa.jpg,640,640,Pride Saipa131,70,124,625,535
324_jpeg.rf.f3b4766ebbe5848a024e53096a555a0d.jpg,640,640,Pride Saipa111,137,185,492,436
285_jpg.rf.f4f055a83e81ba94b8f33215fa815acb.jpg,640,640,Renault Tondar 90,0,0,640,640
291_jpg.rf.f3f83593f2e2fdd17de39eebe3d0cdc1.jpg,640,640,Pride Saipa111,0,0,640,640
209_jpg.rf.f4dba339e642bbf77e315e565d80b8f7.jpg,640,640,Peugeot Persia Pars,30,168,575,479
378_jpg.rf.f45a5d9288abedf3e09431f1612dd7e3.jpg,640,640,Pride Saipa111,40,83,591,610
147_jpg.rf.f3dd6c069124ef702ff81e8d23a77061.jpg,640,640,Peugeot 206,77,11,569,631
380_jpg.rf.f4554a8bd22f3217ffbf8032ee09bdc3.jpg,640,640,Peugeot Persia Pars,56,100,583,359
159_jpg.rf.f4eccbb60f8ebafc159e64c65aa276b8.jpg,640,640,Peugeot 206,0,0,640,640
127_jpg.rf.f5061080751aba58b8cc0c17ed0a7ae8.jpg,640,640,Peugeot Persia Pars,0,100,640,640
Q9272_jpg.rf.f47f0e27dec11d8b4ec92ee86f2b1069.jpg,640,640,Pride Saipa131,0,39,602,640
419_jpg.rf.f3ef18baaeb09b822cb7e83eebd6e2ed.jpg,640,640,Renault Tondar 90,54,120,619,528
UJJ9PJC23_jpg.rf.f46ff7f2239acd4555166cdcd6e94a50.jpg,640,640,Pride Saipa131,0,0,640,640
257_jpg.rf.f48c2639d64b5b5ae7276bac463f4e9c.jpg,640,640,Renault Tondar 90,0,0,640,640
376_jpg.rf.f496debdc8a08de11e07099ede17a250.jpg,640,640,Pride Saipa111,183,114,503,517
500_jpg.rf.f49405734939167dd665ae11b31195ee.jpg,640,640,Pride Saipa111,85,99,610,572
483_jpg.rf.f5021ff92df4bd08a5f68fbc9e207ea7.jpg,640,640,Peugeot 206,1,0,640,640
432_jpg.rf.f48c7a0f191fe10b050a0117acf331ed.jpg,640,640,Peugeot 206,0,0,640,588
ZIYQ_jpg.rf.f46ec2747237203da35afb26129f6387.jpg,640,640,Pride Saipa131,26,82,611,563
56_jpg.rf.f44d0dbac1f8a0fbe84187fb00a92658.jpg,640,640,Pride Saipa111,0,0,640,640
269_jpg.rf.f480d7dd064f1f71c8063210db0d66ec.jpg,640,640,Peugeot Persia Pars,111,33,586,640
59_jpg.rf.f5067d09a5ed6029fb2f9f9c0a931774.jpg,640,640,Renault Tondar 90,0,0,586,640
494_jpg.rf.f52874d969a2da223ccc20f681f70f84.jpg,640,640,Peugeot 206,46,60,585,634
182_jpg.rf.f53b778c11bdab5e00bc02620c901756.jpg,640,640,Peugeot 206,16,113,610,587
330_jpg.rf.f54d2297fe02e4228f4074bda8f4074f.jpg,640,640,Pride Saipa111,233,57,640,535
398_jpg.rf.f4a09282de9d42221237e4a3f3da0d38.jpg,640,640,Peugeot Persia Pars,70,156,640,640
476_jpg.rf.f3a34d03815c3b5bd3e7c3ce098081a5.jpg,640,640,Peugeot Persia Pars,0,0,634,640
111_jpg.rf.f3df7bb69aee577f98ff0b0a091c0f39.jpg,640,640,Peugeot Persia Pars,1,3,630,384
490_jpg.rf.f56fab6b184c54c391b36e7044c340fc.jpg,640,640,Peugeot 206,20,110,614,591
21_jpg.rf.f5567cb9a006784ade1ab1f3b284a61a.jpg,640,640,Renault Tondar 90,0,1,640,640
60_jpg.rf.f56a7052c5611b3273ca4cdac2fc529f.jpg,640,640,Renault Tondar 90,102,249,620,549
370_jpg.rf.f5507afb8bd41dff609cf00986862f33.jpg,640,640,Peugeot Persia Pars,0,118,640,485
65_jpg.rf.f58bf68e714fdc4b5d0727b3c9f52cc4.jpg,640,640,Saipa Quik,0,0,640,556
315_jpg.rf.f5b4a11d8f32a4d5da5fa64dbc3107c2.jpg,640,640,Pride Saipa111,5,74,534,408
83_jpg.rf.f588df1763627595253b95e5469b7353.jpg,640,640,Peugeot Persia Pars,0,98,626,640
QQUJYLK_jpg.rf.f5bf779a232001301ffe444eb0b4add7.jpg,640,640,Pride Saipa131,67,66,614,578
400_jpg.rf.f5bcfbb8d8d0244d88ec5a4f737ea73a.jpg,640,640,Saipa Quik,97,53,540,615
330_jpg.rf.f5a8f1e217147e8e713587055b994104.jpg,640,640,Pride Saipa111,155,18,640,615
106_jpg.rf.f5bb6aed60afaa37c75556f2af7eece5.jpg,640,640,Peugeot Persia Pars,0,0,640,640
417_jpg.rf.f5c773a29fa77c23e7fb385de85f3d0c.jpg,640,640,Pride Saipa111,43,34,629,632
14_jpg.rf.f5f554f561f88c7ef46cd2b7dd9bab85.jpg,640,640,Peugeot 206,0,0,640,640
94JS0O_jpg.rf.f5de69405d5a7d3ce766259863c8c5c4.jpg,640,640,Pride Saipa131,0,30,640,552
321_jpeg.rf.f6274a6d9d4f2a7b55df6568ccf14d0f.jpg,640,640,Pride Saipa111,139,36,535,573
338_jpg.rf.f5d23852b94611309d3d7ae924f7f050.jpg,640,640,Peugeot Persia Pars,138,41,549,509
427_jpg.rf.f651dc678d80beb2c20704267410ff06.jpg,640,640,Peugeot Persia Pars,33,64,636,624
184_jpg.rf.f670f7535c27da6af99c2ed7326d6014.jpg,640,640,Renault Tondar 90,0,13,640,623
283_jpg.rf.f66322e9f558daada2a3969c99ac3976.jpg,640,640,Peugeot 206,0,3,569,640
25_jpg.rf.f64481a24c7b190c2ad6183259555c78.jpg,640,640,Pride Saipa111,0,76,640,640
166_jpg.rf.f6881163e41795d1b93a19d4c37d09ba.jpg,640,640,Saipa Quik,128,115,534,553
428_jpg.rf.f6d585a3a30063c18bdb3f9d8bcd60f4.jpg,640,640,Saipa Quik,0,4,640,640
20_jpg.rf.f6b3a185aa1c41ff83998da76307a9f8.jpg,640,640,Peugeot Persia Pars,0,67,640,536
GZJY66K5SC_jpg.rf.f6a0318ae5f0d3aade916b99dbe601e9.jpg,640,640,Pride Saipa131,88,133,535,633
356_jpg.rf.f6fdc7ef922a3ba01e409bf50723e72f.jpg,640,640,Renault Tondar 90,48,227,594,587
GMTY2FS_jpg.rf.f6dab4f5b970c680ad086459e81bc4c8.jpg,640,640,Pride Saipa131,0,0,640,640
Pride-131_jpg.rf.f70587193f90dd80b8660d5b98171113.jpg,640,640,Pride Saipa131,0,39,640,640
191_jpg.rf.f70c1fb78ee136076525b1fe6a937c53.jpg,640,640,Renault Tondar 90,28,77,640,640
263_jpeg.rf.f73b8fe2519cbc64e345b8c1cd00814b.jpg,640,640,Saipa Quik,132,55,570,585
491_jpg.rf.f74d8d5baa94588d3ce1af991d1da023.jpg,640,640,Peugeot 206,0,0,640,640
